Order_ID,Order_Date,Customer_Segment,Priority,Product_Category,Order_Value_INR,Origin,Destination,Special_Handling
ORD000001,09-10-2025,Individual,Express,Industrial,238.73,Kolkata,Hyderabad,None
ORD000002,29-09-2025,SMB,Express,Industrial,17.01,Hyderabad,Kolkata,None
ORD000003,15-09-2025,SMB,Economy,Industrial,3024.95,Mumbai,Pune,None
ORD000004,13-10-2025,Individual,Economy,Fashion,56.74,Hyderabad,Ahmedabad,None
ORD000005,08-09-2025,SMB,Standard,Fashion,19148.65,Chennai,Mumbai,None
ORD000006,21-09-2025,Individual,Express,Food & Beverage,158.22,Chennai,Dubai,None
ORD000007,09-10-2025,Individual,Standard,Electronics,736.82,Pune,Bangalore,None
ORD000008,19-09-2025,Enterprise,Standard,Industrial,4771.54,Chennai,Kolkata,None
ORD000009,23-09-2025,SMB,Express,Books,3711.35,Delhi,Hong Kong,None
ORD000010,11-09-2025,SMB,Standard,Electronics,7936.32,Hyderabad,Mumbai,Hazmat
ORD000011,11-09-2025,Enterprise,Standard,Books,41.07,Delhi,Bangkok,None
ORD000012,24-09-2025,Enterprise,Standard,Electronics,73.42,Mumbai,Hong Kong,None
ORD000013,06-10-2025,SMB,Standard,Food & Beverage,566.23,Hyderabad,Bangalore,None
ORD000014,10-10-2025,SMB,Express,Industrial,1421.72,Delhi,Bangalore,None
ORD000015,24-09-2025,Enterprise,Standard,Industrial,396.69,Kolkata,Delhi,Hazmat
ORD000016,03-09-2025,Enterprise,Standard,Healthcare,34.57,Delhi,Mumbai,Fragile
ORD000017,22-09-2025,Individual,Standard,Books,849.69,Hyderabad,Singapore,None
ORD000018,02-09-2025,Enterprise,Economy,Electronics,301.46,Mumbai,Chennai,Fragile
ORD000019,24-09-2025,Enterprise,Standard,Electronics,296.08,Ahmedabad,Bangalore,Hazmat
ORD000020,14-10-2025,SMB,Express,Fashion,13.24,Kolkata,Pune,Temperature_Controlled
ORD000021,30-09-2025,Individual,Express,Healthcare,1334.39,Mumbai,Singapore,Fragile
ORD000022,08-10-2025,Enterprise,Standard,Home Goods,501.6,Bangalore,Dubai,Fragile
ORD000023,02-09-2025,SMB,Express,Home Goods,5959.53,Ahmedabad,Dubai,None
ORD000024,21-09-2025,Individual,Standard,Fashion,360.77,Bangalore,Kolkata,None
ORD000025,03-10-2025,Enterprise,Economy,Fashion,943.42,Mumbai,Hyderabad,None
